"names2","W","d","u","fr","tau","re"
"Exp2a",0.0743253747917823,0.01614973079222,0.358573397994,0.917767094970358,2.47000797081572,4430.65328757051
"Exp2b",0.0704441976679622,0.013079965,0.30232305,0.851509500584121,2.17641647871404,3025.53551085941
"Exp1a",0.261990560799556,0.0149962,0.3621489,0.932844861776007,2.68103907168079,4155.20836586075
"Exp1b",0.215871737923376,0.01321162958628,0.313190768758,0.845792677543417,2.38920899613613,3165.84577404206
"Exp1c(1)",0.181160466407551,0.0118407,0.2821779,0.80922645157924,2.07137185033474,2556.37632787299
"Exp1c(2)",0.216757357023876,0.01291046842348,0.303408435,0.812371857880228,2.25959669630033,2997.05051223029
"Exp1c(3)",0.258933925596891,0.01559314222194,0.34927738552,0.880553490701816,2.85434214996486,4167.0481616838
"Exp1c(4)",0.283170460855081,0.01837443629648,0.43581919326,1.03453781227853,3.35394481066988,6126.9563912312
"Exp3a",0.475202665186008,0.0147712542307,0.34268398123,0.872808483349499,2.68562942801134,3872.89380836783
"Exp3b",0.338325930038867,0.0141378384104,0.334015526158,0.870589934994423,2.44881505289009,3613.05090695221
"Exp3c(1)",0.283797890061077,0.01316343780156,0.300532977399,0.833155699779126,2.18215018175201,3026.81496198116
"Exp3c(2)",0.367981676846197,0.01329074312772,0.313730523138,0.834280995269806,2.35467461518867,3190.29211503625
"Exp3c(3)",0.449800111049417,0.01513108622026,0.353274485341,0.886010974004506,2.69075467635952,4089.84445073653
"Exp3c(4)",0.519636313159356,0.01719180078904,0.410511752048,0.970084521340347,3.21660546710513,5399.72170066488
"Exp4a",0.559489172681843,0.01479430349834,0.351133831589,0.892167564556241,2.73472602720589,3974.58337648253
"Exp4b",0.457082176568573,0.01343112,0.310218,0.815487951698477,2.27967707845162,3187.89226026014
"Exp4c(1)",0.363675735702388,0.01327928082612,0.30793483769,0.843077971437589,2.11409479193176,3128.65584225799
"Exp4c(2)",0.456735147140478,0.01375090041582,0.322329417429,0.850634806435848,2.32760126736408,3391.2163122842
"Exp4c(3)",0.539464186563021,0.0154013806156,0.371475525306,0.933142849948273,2.79465641620356,4377.38022541519
"Exp4c(4)",0.666793448084398,0.01730582360816,0.408821415962,0.966174243080243,3.08885470708325,5413.1532608084
