"c..exp...names2.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68"
"exp",5,10,15,20,30,40,50,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705,720,735,750,765,780,795,810,825,840,855,870,885,900,915,930,945,960
"Exp2a",0.942,0.471,0.942,1.413,0.471,1.884,2.355,1.884,1.256,1.256,0.471,2.041,1.256,1.57,0.628,1.57,0.785,1.413,1.727,1.57,1.099,0.785,0.785,0.942,0.628,1.57,1.884,2.041,0.157,0.157,1.256,1.884,1.099,1.57,0.314,0.157,0.628,2.512,1.413,0.628,0.471,1.099,1.413,2.041,1.57,0.314,0.785,1.256,2.669,1.413,0.314,0.942,1.413,1.099,1.413,0.628,1.413,1.413,1.256,0.628,0,0.628,1.57,1.884,1.884,0.314,0.314,1.413
"Exp2b",0.471,0,0,0,0,0,0,0,0.628,0.785,0.314,0.471,0.314,0.314,0.157,0.314,0.157,0.157,0.157,0.314,0.471,0.471,0.157,0.628,0.157,0.157,0.157,0.157,0,0.157,0,0,0.157,0.157,0.471,0.314,0.314,0.157,0.471,0.314,0.314,0.157,0.314,0,0,0,0,0.314,0.471,0.314,0.471,0.314,0.314,0,0.157,0,0,0.157,0.628,0.314,0.157,0,0,0,0.157,0,0.157,0.314
"Exp1a",2.6376,2.512,2.1352,2.2608,2.198,3.3284,2.8888,2.3864,2.47013333333333,1.96773333333333,2.30266666666667,2.42826666666667,0.8792,1.96773333333333,1.884,2.34453333333333,1.5072,2.05146666666667,1.71653333333333,2.55386666666667,2.05146666666667,1.80026666666667,2.2608,2.47013333333333,2.17706666666667,2.09333333333333,2.3864,1.42346666666667,2.17706666666667,2.30266666666667,1.96773333333333,1.59093333333333,1.92586666666667,2.0096,1.96773333333333,1.96773333333333,1.54906666666667,1.80026666666667,1.92586666666667,1.884,1.884,1.6328,1.6328,1.5072,1.884,2.1352,2.05146666666667,1.59093333333333,1.67466666666667,2.05146666666667,2.17706666666667,2.09333333333333,1.08853333333333,1.5072,1.5072,1.84213333333333,1.96773333333333,1.67466666666667,1.884,1.96773333333333,1.42346666666667,2.1352,1.884,1.884,1.33973333333333,1.21413333333333,1.80026666666667,1.884
"Exp1b",0.628,1.0048,1.5072,1.3816,1.0676,0.8164,1.4444,1.4444,1.21413333333333,0.921066666666667,1.1304,1.1304,1.29786666666667,1.256,1.256,0.921066666666667,0.795466666666667,0.921066666666667,1.29786666666667,1.04666666666667,1.17226666666667,1.29786666666667,0.795466666666667,1.17226666666667,1.04666666666667,1.04666666666667,1.17226666666667,0.921066666666667,0.921066666666667,1.29786666666667,1.33973333333333,1.21413333333333,0.921066666666667,0.711733333333333,0.7536,1.21413333333333,1.33973333333333,1.29786666666667,1.08853333333333,0.8792,0.711733333333333,1.04666666666667,1.42346666666667,1.0048,1.08853333333333,0.628,0.2512,0.962933333333333,0.795466666666667,1.08853333333333,1.3816,1.0048,0.628,0.8792,0.628,0.8792,1.21413333333333,1.256,1.0048,0.7536,0.8792,1.29786666666667,1.08853333333333,1.0048,0.921066666666667,0.586133333333333,0.837333333333333,0.795466666666667
"Exp1c(1)",0.3768,0.1256,0.1256,0.1256,0.1256,0.0628,0.0628,0.0628,0.0837333333333333,0.167466666666667,0.0418666666666667,0.0837333333333333,0.1256,0.209333333333333,0.1256,0,0,0.0418666666666667,0.0837333333333333,0.0418666666666667,0,0.0418666666666667,0,0.418666666666667,0.5024,0.293066666666667,0.418666666666667,0.167466666666667,0.209333333333333,0.334933333333333,0.334933333333333,0.3768,0.460533333333333,0.460533333333333,0.293066666666667,0.2512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp1c(2)",0.7536,1.1304,1.0048,1.0048,1.1932,1.3816,1.1304,1.0676,0.7536,0.921066666666667,0.7536,0.669866666666667,0.7536,0.962933333333333,0.7536,1.08853333333333,1.17226666666667,0.711733333333333,0.669866666666667,1.08853333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp1c(3)",1.1304,1.884,2.2608,2.2608,1.4444,1.9468,2.1352,2.4492,1.92586666666667,1.7584,1.80026666666667,1.84213333333333,1.884,1.84213333333333,1.7584,1.884,1.42346666666667,1.884,1.67466666666667,2.09333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp1c(4)",2.1352,4.1448,5.1496,4.5216,4.2076,3.9564,3.768,3.7052,3.7052,3.768,4.0192,3.47493333333333,3.68426666666667,4.0192,3.93546666666667,3.72613333333333,3.2656,3.18186666666667,3.68426666666667,3.72613333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp3a",1.59093333333333,1.84213333333333,2.2608,2.7632,2.84693333333333,2.6376,2.84693333333333,2.21893333333333,2.06542222222222,2.34453333333333,3.32142222222222,2.70737777777778,3.07022222222222,2.90275555555556,1.98168888888889,2.23288888888889,1.98168888888889,3.04231111111111,1.53511111111111,2.93066666666667,3.54471111111111,3.0144,1.98168888888889,1.95377777777778,1.67466666666667,1.59093333333333,1.98168888888889,1.53511111111111,1.95377777777778,1.78631111111111,3.43306666666667,2.98648888888889,2.70737777777778,2.73528888888889,2.512,2.87484444444444,2.98648888888889,2.56782222222222,2.40035555555556,2.56782222222222,2.56782222222222,2.81902222222222,2.34453333333333,2.62364444444444,2.40035555555556,2.59573333333333,2.87484444444444,2.0096,2.62364444444444,1.47928888888889,2.12124444444444,1.67466666666667,1.89795555555556,3.12604444444444,2.03751111111111,3.0144,2.87484444444444,2.67946666666667,1.98168888888889,2.70737777777778,2.12124444444444,3.04231111111111,1.98168888888889,2.56782222222222,2.67946666666667,2.37244444444444,2.512,2.28871111111111
